soa_label	protestant_trouble_deaths	catholic_trouble_deaths	total_population	urban	protestant_stronghold	catholic_stronghold	income_deprivation	violent_crime_rate	asb_rate	republican_PSAs	loyalist_PSAs	protestant_trouble_deaths_enforcement	catholic_trouble_deaths_enforcement	catholic_no_go	protestant_no_go
"Town Parks East_2"	0	0	1398	"TRUE"	"FALSE"	"FALSE"	0.15	29	68.4	0	0	0	0	0	0
"Town Parks West"	0	0	2211	"TRUE"	"FALSE"	"FALSE"	0.113	41	37.6	0	0	0	0	0	0
"Upperlands"	0	0	2498	"FALSE"	"FALSE"	"FALSE"	0.157	5.8	8.9	0	0	0	0	0	0
"Valley"	0	0	2691	"FALSE"	"FALSE"	"FALSE"	0.141	5.8	5.1	0	0	0	0	0	0
"Dalriada"	0	0	1452	"TRUE"	"FALSE"	"FALSE"	0.117	14.2	21.7	0	0	0	0	0	0
"Glenariff"	0	0	1690	"FALSE"	"FALSE"	"TRUE"	0.134	5.5	9.1	0	0	0	0	0	0
"Knocklayd"	0	0	1732	"TRUE"	"FALSE"	"FALSE"	0.166	10.3	29.5	0	0	0	0	0	0
"Armoy_&_Moss-side and Moyarget"	0	0	2045	"FALSE"	"FALSE"	"FALSE"	0.185	9.1	11.1	0	1	0	0	0	0
"Ballylough_&_Bushmills"	0	0	1781	"FALSE"	"TRUE"	"FALSE"	0.189	9.8	19.5	0	1	0	0	0	0
"Bonamargy and Rathlin_&_Glenshesk"	0	0	1872	"TRUE"	"FALSE"	"FALSE"	0.139	9.1	23.1	0	0	0	0	0	0
"Carnmoon_&_Dunseverick"	0	0	1806	"FALSE"	"TRUE"	"FALSE"	0.18	5.3	5.2	0	0	0	0	0	0
"Glenaan_&_Glendun"	0	0	2421	"FALSE"	"FALSE"	"TRUE"	0.136	5.5	7.2	0	0	0	0	0	0
"Glentaisie_&_Kinbane"	0	0	2251	"TRUE"	"FALSE"	"FALSE"	0.207	14.6	30.4	0	0	0	0	0	0
"Annalong_1"	0	0	1656	"FALSE"	"FALSE"	"FALSE"	0.162	4.8	8.2	0	0	0	1	0	0
"Annalong_2"	0	0	1555	"FALSE"	"FALSE"	"FALSE"	0.186	9.2	34.6	0	0	0	0	0	0
"Ballybot"	0	1	2192	"TRUE"	"FALSE"	"TRUE"	0.147	39.6	49.6	0	0	0	0	1	0
"Bessbrook"	0	0	2579	"FALSE"	"FALSE"	"FALSE"	0.146	17.1	31	2	0	0	0	0	0
"Binnian"	0	0	3138	"FALSE"	"FALSE"	"FALSE"	0.171	5.3	6.2	0	0	0	0	0	0
"Burren and Kilbroney_1"	0	0	1964	"FALSE"	"FALSE"	"TRUE"	0.149	3.3	6.7	0	0	0	0	0	0
"Burren and Kilbroney_2"	0	0	2542	"FALSE"	"FALSE"	"TRUE"	0.134	2.6	4.7	0	0	0	0	0	0
"Camlough"	0	0	3482	"FALSE"	"FALSE"	"TRUE"	0.174	11	12.2	0	0	0	0	0	0
"Clonallan_1"	0	0	2052	"TRUE"	"FALSE"	"TRUE"	0.177	34.2	60.3	0	0	0	0	0	0
"Clonallan_2"	0	0	2341	"TRUE"	"FALSE"	"TRUE"	0.13	5.9	11.3	0	0	0	0	0	0
"Creggan"	0	3	3088	"FALSE"	"FALSE"	"TRUE"	0.27	5.6	5.3	0	0	0	1	1	0
"Crossmaglen"	0	10	2665	"FALSE"	"FALSE"	"TRUE"	0.257	5.9	4.6	0	0	0	1	0	0
"Daisy hill_1"	0	2	1580	"TRUE"	"FALSE"	"TRUE"	0.12	31.9	33.7	0	0	0	0	0	0
"Daisy hill_2"	0	14	1575	"TRUE"	"FALSE"	"TRUE"	0.175	82.6	112.2	0	0	0	0	0	0
"Derryleckagh_1"	0	0	2046	"FALSE"	"FALSE"	"TRUE"	0.12	6.1	10.5	0	0	0	0	0	0
"Derryleckagh_2"	0	0	2412	"FALSE"	"FALSE"	"FALSE"	0.145	5.8	11.1	0	0	0	0	0	0
"Derrymore_1"	0	0	1652	"FALSE"	"FALSE"	"TRUE"	0.184	15.6	31.6	0	0	0	0	0	0
"Derrymore_2"	0	0	1543	"TRUE"	"FALSE"	"TRUE"	0.153	13.1	21.9	0	0	0	0	0	0
"Donaghmore_1"	3	0	2057	"FALSE"	"FALSE"	"FALSE"	0.168	6.6	6.8	0	0	0	0	0	0
"Donaghmore_2"	0	0	1416	"FALSE"	"FALSE"	"FALSE"	0.149	8.3	6.9	0	0	0	0	0	0
"Drumalane_1"	0	1	1966	"TRUE"	"FALSE"	"TRUE"	0.146	11.5	14.5	0	0	0	0	0	0
"Drumalane_2"	0	0	1386	"TRUE"	"FALSE"	"TRUE"	0.164	46	65.9	0	0	0	0	0	0
"Drumgullion_1"	0	0	1419	"TRUE"	"FALSE"	"TRUE"	0.192	24.8	33.5	0	0	0	0	0	0
"Drumgullion_2"	0	0	1679	"TRUE"	"FALSE"	"TRUE"	0.097	11.4	18	0	0	0	0	0	0
"Fathom"	0	8	3110	"FALSE"	"FALSE"	"TRUE"	0.176	12.2	13.4	0	0	0	0	0	0
"Forkhill_1"	0	1	2205	"FALSE"	"FALSE"	"TRUE"	0.179	6	5.9	0	0	0	0	0	0
"Forkhill_2"	0	5	2151	"FALSE"	"FALSE"	"TRUE"	0.259	9.4	6.2	0	0	0	0	0	0
"Kilkeel Central_1"	0	0	1862	"TRUE"	"FALSE"	"FALSE"	0.136	10.4	18.6	0	0	0	0	0	0
"Kilkeel Central_2"	0	0	1825	"FALSE"	"FALSE"	"FALSE"	0.127	18.3	32.2	0	0	0	0	0	0
"Kilkeel South_1"	0	0	1302	"TRUE"	"FALSE"	"FALSE"	0.114	19	27.9	0	0	0	0	0	0
"Kilkeel South_2"	0	0	1681	"FALSE"	"FALSE"	"FALSE"	0.183	19.5	32	0	0	0	0	0	0
"Lisnacree"	0	0	2990	"FALSE"	"FALSE"	"FALSE"	0.147	6.1	11.9	0	0	0	0	0	0
"Mayobridge_1"	0	0	2302	"FALSE"	"FALSE"	"FALSE"	0.166	4.9	7.2	0	0	0	0	0	0
"Mayobridge_2"	0	0	1735	"FALSE"	"FALSE"	"FALSE"	0.117	1.9	4.2	0	0	0	0	0	0
"Newtownhamilton"	0	2	2836	"FALSE"	"FALSE"	"FALSE"	0.223	8.5	17.5	0	0	0	1	0	0
"Rostrevor"	0	1	2893	"FALSE"	"FALSE"	"TRUE"	0.155	9.1	14.4	0	0	0	1	0	0
"Seaview_1"	0	0	1532	"TRUE"	"FALSE"	"FALSE"	0.134	12.7	25.5	0	0	0	0	0	0
"Seaview_2"	0	0	1535	"TRUE"	"FALSE"	"TRUE"	0.164	12.3	25.7	0	0	0	0	0	0
"Silver Bridge_1"	0	0	1845	"FALSE"	"FALSE"	"TRUE"	0.259	6	4.8	0	0	0	0	0	0
"Silver Bridge_2"	0	2	1925	"FALSE"	"FALSE"	"TRUE"	0.203	4.7	2.3	0	0	0	0	0	0
"Spelga"	0	0	3583	"FALSE"	"FALSE"	"FALSE"	0.178	8.2	7.9	0	0	0	0	0	0
"St Mary's"	0	0	2284	"TRUE"	"FALSE"	"TRUE"	0.14	30.5	41.1	0	0	0	0	0	0
"St Patrick's_1"	0	0	2210	"TRUE"	"FALSE"	"TRUE"	0.132	18.4	26.6	0	0	0	0	0	0
"St Patrick's_2"	0	0	1320	"TRUE"	"FALSE"	"TRUE"	0.176	53.9	54.2	0	0	0	0	0	0
"Tullyhappy"	0	0	3366	"FALSE"	"FALSE"	"FALSE"	0.181	6.4	8	0	0	0	0	0	0
"Windsor Hill_1"	0	0	1614	"TRUE"	"FALSE"	"TRUE"	0.099	6.6	12	0	0	0	0	0	0
"Windsor Hill_2"	0	0	1389	"TRUE"	"FALSE"	"FALSE"	0.123	25.2	43.8	0	0	0	0	0	0
"Abbey_1"	1	0	1441	"TRUE"	"FALSE"	"FALSE"	0.112	11.7	29.3	0	0	0	0	0	0
"Abbey_2"	0	0	1373	"TRUE"	"FALSE"	"FALSE"	0.133	14.4	50.2	0	1	0	0	0	0
"Ballyclare North_1"	0	0	1786	"TRUE"	"TRUE"	"FALSE"	0.118	10.6	23.6	0	0	0	0	0	0
"Ballyclare North_2"	0	0	2065	"TRUE"	"TRUE"	"FALSE"	0.136	10.7	23.3	0	1	0	0	0	0
"Ballyclare South_1"	0	0	1627	"TRUE"	"TRUE"	"FALSE"	0.123	13	40.5	0	1	0	0	0	0
"Ballyclare South_2"	0	0	2011	"TRUE"	"TRUE"	"FALSE"	0.089	5.3	16.3	0	0	0	0	0	0
"Ballyduff_1"	0	0	1611	"TRUE"	"TRUE"	"FALSE"	0.11	15.5	21.5	0	0	0	0	0	0
"Ballyduff_2"	0	0	1255	"TRUE"	"FALSE"	"FALSE"	0.087	7.1	15.9	0	0	0	0	0	0
"Ballyhenry_1"	0	0	1517	"TRUE"	"FALSE"	"FALSE"	0.08	5.7	19.2	0	0	0	0	0	0
"Ballyhenry_2"	0	0	1255	"TRUE"	"FALSE"	"FALSE"	0.099	17.4	31.4	0	0	0	0	0	0
"Ballynure_1"	1	0	1525	"FALSE"	"TRUE"	"FALSE"	0.107	4.2	14.2	0	0	0	0	0	0
"Ballynure_2"	0	0	1622	"FALSE"	"TRUE"	"FALSE"	0.097	4.5	7.8	0	1	0	0	0	0
"Ballyrobert_1"	1	0	1809	"FALSE"	"TRUE"	"FALSE"	0.086	3.8	9.1	0	0	0	0	0	0
"Ballyrobert_2"	0	0	2446	"FALSE"	"TRUE"	"FALSE"	0.07	5.4	12.9	0	0	0	0	0	0
"Burnthill_1"	0	0	1219	"TRUE"	"FALSE"	"FALSE"	0.073	6.3	15.2	0	0	0	0	0	0
"Burnthill_2"	0	0	1340	"TRUE"	"FALSE"	"FALSE"	0.064	5.6	27.4	0	0	0	0	0	0
"Carnmoney_1"	0	0	1276	"TRUE"	"TRUE"	"FALSE"	0.151	11.7	21.6	0	0	0	0	0	0
